Tiêu đề,Giá,Diện tích,Giá/m²,Phòng ngủ,WC,Địa điểm
"Bán nhà riêng tại Đồng Nhân, 14 tỷ, 30.5m2, Chính chủ giá cực chất",14 tỷ,"30,5 m²","459,02 tr/m²",,,"Hai Bà Trưng, Hà Nội"
Chính chủ cần bán nhà 36m2 x 4 tầng tại ngõ 141 giáp nhị chỉ hơn 6 tỷ.,"6,8 tỷ",36 m²,"188,89 tr/m²",3 Phòng ngủ,3 WC,"Hoàng Mai, Hà Nội"
Siêu phẩm vừa xây xong - Vị trí đường Phạm Hữu Lầu P. Phú Mỹ quận 7,"6,45 tỷ","57,5 m²","112,17 tr/m²",3 Phòng ngủ,4 WC,"Quận 7, Hồ Chí Minh"
BÁN NHÀ 5 TẦNG TẠI NGÕ 553 GIẢI PHÓNG CÓ SÂN RỘNG 30M NHÀ ĐẸP DÂN XÂY Ở,"8,6 tỷ",48 m²,"179,17 tr/m²",5 Phòng ngủ,4 WC,"Hoàng Mai, Hà Nội"
( TIN THẬT )MÁY IN TIỀN GIỮA LÒNG THỦ ĐÔ NHÀ DÒNG TIỀN HƠN 3 TỶ/NĂM LÔ GÓC NGUYỄN TRÃI,"39,98 tỷ",180 m²,"222,11 tr/m²",45 Phòng ngủ,45 WC,"Thanh Xuân, Hà Nội"
"Cực đẹp! Bán nhà Ngoại Giao Đoàn, Xuân Đỉnh, Lô Góc, Thang Máy, Mặt tiền 4,5m, Full đồ, 45m2*5T","7,5 tỷ",40 m²,"187,5 tr/m²",3 Phòng ngủ,4 WC,"Bắc Từ Liêm, Hà Nội"
"Nhà đẹp 3 tầng ngay Nguyễn Duy Trinh trung tâm Q2. Thiết kế 4PN, 3WC rộng rãi, dọn đồ vào ở ngay.","6,5 tỷ",77 m²,"84,42 tr/m²",4 Phòng ngủ,3 WC,"Quận 2, Hồ Chí Minh"
"HÀNG HIẾM !!! NHÀ C4 DT 5MX11,5M, SỔ 58M2, TÂY NAM, HẺM 8M THÔNG PHẠM VĂN BẠCH, GIÁ 6,8 TỶ TL","6,8 tỷ",58 m²,"117,24 tr/m²",1 Phòng ngủ,1 WC,"Tân Bình, Hồ Chí Minh"
"CHÍNH CHỦ BÁN GẤP NHÀ PHÂN LÔ TRẦN QUỐC HOÀN 60m, 6TẦNG, MẶT TIỀN 4.2m, 2 THOÁNG. GIÁ CHỈ TỪ 15 tỷ",15 tỷ,60 m²,250 tr/m²,4 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
Nhà lê văn quới gần ngã 4 bốn xã giáp tân phú 4 tấm hẻm 6m,"5,2 tỷ",64 m²,"81,25 tr/m²",5 Phòng ngủ,5 WC,"Bình Tân, Hồ Chí Minh"
Hiếm nhà mới đẹp Cổ Linh Đàm Quang Trung DT 45m² 5 tầng mặt tiền: 4m giá 6.1 tỷ bao thuế phí,"6,1 tỷ",45 m²,"135,56 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Chính chủ bán nhà riêng Đền Lừ 50m2x6 tầng mới xây thang máy, ô tô vào nhà kinh doanh dc 0984 842 ***","18,68 tỷ",50 m²,"373,6 tr/m²",5 Phòng ngủ,5 WC,"Hoàng Mai, Hà Nội"
"XUÂN ĐỈNH, NGÕ THÔNG, GẦN CHỢ 43M2X4 TẦNG, MT: 3.5, 11X TỶ","11,6 tỷ",42 m²,"276,19 tr/m²",4 Phòng ngủ,3 WC,"Bắc Từ Liêm, Hà Nội"
"Bán gấp nhà giá siêu hời tại Cống Quỳnh, Q1, 32m2, 2 tỷ lẽ 50 triệu chốt","2,05 tỷ",32 m²,"64,06 tr/m²",2 Phòng ngủ,2 WC,"Quận 1, Hồ Chí Minh"
"Bán nhà Q Cầu Giấy, nhà phố Dịch Vọng. Nhà đẹp ở ngay 50m2 xây 5 tầng, 11,2 tỷ","11,2 tỷ",50 m²,224 tr/m²,6 Phòng ngủ,5 WC,"Cầu Giấy, Hà Nội"
"Bán Nhà 40m x 5 Tầng Thang Máy, Ngõ 216 Cổ Linh, Đối diện trường tiểu học Đoàn Kết","8,38 tỷ",40 m²,"209,5 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán nhà cấp 4 ngay ngã 3 Tam Đa và Nguyễn Duy Trinh, TP. Thủ Đức. SHR, tiện ở ngay 0964 110 ***","4,65 tỷ","87,4 m²","53,2 tr/m²",,,"Thủ Đức, Hồ Chí Minh"
"CHÍNH CHỦ BÁN NHÀ HOÀNG CẦU 60M2 , 7 TẦNG + TUM , THANG MÁY , NỘI THẤT NHẬP KHẨU","25,5 tỷ",60 m²,425 tr/m²,5 Phòng ngủ,7 WC,"Đống Đa, Hà Nội"
"Tôi chính chủ bán nhà ngõ 102 An Trai - Vân Canh - Hoài Đức, DT 35m, 5 tầng, ô tô đỗ cổng giá 5ty2","5,2 tỷ",35 m²,"148,57 tr/m²",3 Phòng ngủ,4 WC,"Hoài Đức, Hà Nội"
"Siêu hot chính chủ bán nhà riêng ở ngõ 68 Nguyễn Văn Linh, 6,9 tỷ(có thương lượng) 5 tầng, 4PN, 4WC","6,9 tỷ",36 m²,"191,67 tr/m²",4 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"BÁN NHÀ HỒNG TIẾN, 60m2, 5 TẦNG, GARA ÔTÔ, THANG MÁY, 16 TỶ, ĐƯỜNG THÔNG LÂM HẠ, LÂM DU, CỔ LINH",16 tỷ,60 m²,"266,67 tr/m²",4 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Bán nhà mới siêu rẻ 5.85 tỷ tại Mậu Lương-Kiến Hưng-Hà Đông, gần ô tô để ngày đêm-dt 34m2, 5 tầng","5,85 tỷ",34 m²,"172,06 tr/m²",3 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
"Bán Nhà riêng tại Đông Thiên, 6,2 tỷ, 31m2, 4PN + 4WC + 5Tầng, Giá siêu hời!","6,2 tỷ",31 m²,200 tr/m²,4 Phòng ngủ,4 WC,"Hoàng Mai, Hà Nội"
"Sống xanh giữa lòng Láng Hạ. Chỉ với 9,9 tỷ cho 62m2 và không gian lý tưởng","9,9 tỷ",62 m²,"159,68 tr/m²",4 Phòng ngủ,4 WC,"Đống Đa, Hà Nội"
"Hot! Bán gấp nhà Ngô Chí Quốc, Q. TĐ, DT 51,2m2, GIÁ 2TỶ970TR","2,97 tỷ","51,2 m²","58,01 tr/m²",3 Phòng ngủ,3 WC,"Thủ Đức, Hồ Chí Minh"
"Bán nhà riêng tại Dương Quảng Hàm, Dịch Vọng, Cầu Giấy, Hà Nội, giá tốt, 50m2","19,8 tỷ",50 m²,396 tr/m²,4 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
"BÁN NHÀ HẺM 42 HOÀNG HOA THÁM P7 BÌNH THẠNH, NGANG 4.6 DÀI 10, TRỆT LẦU, GIÁ CHỈ 5.85TY TL","5,85 tỷ",46 m²,"127,17 tr/m²",2 Phòng ngủ,3 WC,"Bình Thạnh, Hồ Chí Minh"
"Bán gấp nhà riêng 8PN, 6WC, 5,2 tỷ, 100m2 tại KDC Long Hậu, Cần Giuộc, Long An","5,2 tỷ",100 m²,52 tr/m²,8 Phòng ngủ,6 WC,"Cần Giuộc, Long An"
"(Hàng Đầu Tư) Chủ cần tiền bán nhanh nhà Phố Thái Hà, 208m2 MT:9.3m - Vị trí đắc địa - KD Đỉnh","42,5 tỷ",208 m²,"204,33 tr/m²",,,"Đống Đa, Hà Nội"
"Bán nhà vườn phong cách nhiệt đới tại Tân Phú, Ninh Ích, cách suối Ba Hồ 2,5 km giá 1,5 tỷ","1,5 tỷ",180 m²,"8,33 tr/m²",2 Phòng ngủ,1 WC,"Ninh Hòa, Khánh Hòa"
"Bán nhà gần biển Mỹ Khê Sơn Trà, Đà Nẵng, 69.5m², giá chỉ hơn 5 tỷ","5,25 tỷ","69,5 m²","75,54 tr/m²",3 Phòng ngủ,2 WC,"Sơn Trà, Đà Nẵng"
"Cần bán gấp nhà mới đẹp ngay Phan Đăng Lưu P7, Quận Phú Nhuận, giá: 8.9 tỷ tôi thuê lại 20tr","8,9 tỷ",40 m²,"222,5 tr/m²",5 Phòng ngủ,4 WC,"Phú Nhuận, Hồ Chí Minh"
"Bán nhà phố Ngô Quyền Hà Đông 67m2 4 tầng, mặt tiền 4.3m 13.5 tỷ, ô tô đỗ cửa, tặng nội thất","13,5 tỷ",67 m²,"201,49 tr/m²",4 Phòng ngủ,3 WC,"Hà Đông, Hà Nội"
"Hàng hiếm tại Tân Kỳ Tân Quý, 55m2, Tân Phú, HCM , GIÁ 2Tỷ550Tr","2,55 tỷ",55 m²,"46,36 tr/m²",4 Phòng ngủ,3 WC,"Tân Phú, Hồ Chí Minh"
Siêu phẩm nhà phố mới hoàn thiện - Full nội thất - DT 5 x 20m - giá rẻ - có video review,"8,89 tỷ",100 m²,"88,9 tr/m²",4 Phòng ngủ,5 WC,"Nhà Bè, Hồ Chí Minh"
Cực ngon. 2 mặt đường oto tránh đỗ vỉa hè. Trung Hòa Nguyễn Chánh. DT 55m2x3T tính đất. Giá 22 tỷ.,22 tỷ,55 m²,400 tr/m²,3 Phòng ngủ,3 WC,"Cầu Giấy, Hà Nội"
"Hàng đầu tư. Ngay Vườn Lài Tân Phú. Ngang 5m - Dài 17m. Tổng 90m2. Chỉ 6,6 tỷ","6,6 tỷ",90 m²,"73,33 tr/m²",,,"Tân Phú, Hồ Chí Minh"
"Bán nhà Quận 7 giá tốt - Nhà đẹp 4 tầng full nội thất, diện tích 61,5m2. Giá 7.75 tỷ - Có video","7,75 tỷ","61,5 m²",126 tr/m²,4 Phòng ngủ,5 WC,"Quận 7, Hồ Chí Minh"
"Nhà Phố, siêu hot, tại Đại La, 8,5 tỷ, 38m2, 5 tầng, Thang máy, 1 nhà ra phố. siêu hiếm","8,5 tỷ",38 m²,"223,68 tr/m²",3 Phòng ngủ,4 WC,"Hai Bà Trưng, Hà Nội"
"CC cần BÁN GẤP dãy trọ có 38Phòng và 1 căn nhà biệt thự Mini đang ở và 4 Kios đang cho thuê, 730m2",24 tỷ,730 m²,"32,88 tr/m²",,,"Thủ Đức, Hồ Chí Minh"
"Ô tô thông- thông số vàng-phân lô-gara-thang máy nhập khẩu-bán nhà Nguyễn Sơn,Long Biên-23.7tỷ,84m2","23,7 tỷ",84 m²,"282,14 tr/m²",4 Phòng ngủ,,"Long Biên, Hà Nội"
"Bán nhanh nhà 3 lầu mái đổ hoàn công Võ Thị Thừa, An Phú Đông, Quận 12, HCM, 6,5 tỷ, 98m2, 4PN, 3WC","6,5 tỷ",98 m²,"66,33 tr/m²",4 Phòng ngủ,3 WC,"Quận 12, Hồ Chí Minh"
"Bán nhà riêng tại đường Số 8, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh, 3,7 tỷ, 62m2","3,7 tỷ",62 m²,"59,68 tr/m²",3 Phòng ngủ,2 WC,"Bình Tân, Hồ Chí Minh"
"Cần bán gấp! Nhà cực đẹp, HXH 6m Nguyễn Hồng Đào 5 Tầng, DT: 4 x 17m, nở hậu 4.5m - 10.9 tỷ TL","10,9 tỷ",70 m²,"155,71 tr/m²",4 Phòng ngủ,4 WC,"Tân Bình, Hồ Chí Minh"
Gia đình cần tiền để trả nợ ngân hàng cần bán gấp 150m2 trọ ngay khu đô thị MP3,"2,1 tỷ",150 m²,14 tr/m²,5 Phòng ngủ,,"Bến Cát, Bình Dương"
"Nhà 111/37 Vườn Lài 8,6x25m (DTCN 214.5m2) nhà cấp 4 tiện xây biệt thự, CHDV",19 tỷ,"214,5 m²","88,58 tr/m²",3 Phòng ngủ,2 WC,"Tân Phú, Hồ Chí Minh"
"Chính chủ cần bán biệt thự mini lô góc 3 mặt, đường 15m, mặt tiền dài 30m, đỗ 7 xe ô tô ngày đêm","7,5 tỷ",50 m²,150 tr/m²,4 Phòng ngủ,4 WC,"Hải An, Hải Phòng"
"Bán nhà riêng tại Ngọc Lâm, Long Biên, Hà Nội, 6,5tỷ 37m2","6,5 tỷ",37 m²,"175,68 tr/m²",5 Phòng ngủ,6 WC,"Long Biên, Hà Nội"
Bán nhà Riêng 2 Mặt Tiền 4 tầng 6 PN tại Lê Quang Định chỉ 10.5 tỷ Đang có TN 46 triệu/tháng,"10,5 tỷ",80 m²,"131,25 tr/m²",6 Phòng ngủ,6 WC,"Gò Vấp, Hồ Chí Minh"
"Nhà đẹp 3 lầu, ngay mặt tiền nhựa 14m, kề bên TP. HCM, sổ hồng hoàn công bao ngân hàng",2 tỷ,72 m²,"27,78 tr/m²",4 Phòng ngủ,5 WC,"Đức Hòa, Long An"
TRUNG TÂM TÂN BÌNH - KHU VIP BÀU CÁT - BA VÂN - TRƯƠNG CÔNG ĐỊNH - NGUYỄN HỒNG ĐÀO- NGANG 5M X 13,"8,9 tỷ",65 m²,"136,92 tr/m²",3 Phòng ngủ,3 WC,"Tân Bình, Hồ Chí Minh"
"BÁN NHÀ Hẻm Xe Hơi đậu trước nhà,DT4x15m,2 Tầng, Trần Xuân Soạn.LH 0931 432 ***","6,9 tỷ",60 m²,115 tr/m²,2 Phòng ngủ,2 WC,"Quận 7, Hồ Chí Minh"
"Bán nhà phố Trung Kính, 36m2 5 tầng, mặt tiền 3,2m",14 tỷ,36 m²,"388,89 tr/m²",3 Phòng ngủ,5 WC,"Cầu Giấy, Hà Nội"
"Cần bán gấp nhà DT 62m2, giá 3 tỷ 150 triệu hẻm xe hơi Cách Mạng Tháng 8, P12, Quận 10, SHR","3,15 tỷ",62 m²,"50,81 tr/m²",5 Phòng ngủ,6 WC,"Quận 10, Hồ Chí Minh"
Giảm 550tr nhà mới Nguyễn Hồng Đào - nhà mới xây vào ở ngay,"3,65 tỷ","35,9 m²","101,67 tr/m²",2 Phòng ngủ,2 WC,"Tân Bình, Hồ Chí Minh"
"Nhà 1 sẹc đừơng Lưu Chí Hiếu, giá 7 tỷ",7 tỷ,"54,5 m²","128,44 tr/m²",4 Phòng ngủ,5 WC,"Tân Phú, Hồ Chí Minh"
"Bán gấp - Nhà Lô Góc Hà Trì DT 33m2 - giá 5ty8 gần Bà Triệu - Lê Lợi , ÔTÔ đỗ gần","5,8 tỷ",33 m²,"175,76 tr/m²",3 Phòng ngủ,4 WC,"Hà Đông, Hà Nội"
"Siêu phẩm Sài Đồng, Long Biên dân xây","6,78 tỷ",35 m²,"193,71 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
NHÀ ĐẸP 4 TẦNG - NGAY TÔ HIẾN THÀNH P15- Q10 - 86M2 - NỞ HẬU TÀI LỘC - CHỈ 11.5TY TL,"11,5 tỷ",86 m²,"133,72 tr/m²",6 Phòng ngủ,7 WC,"Quận 10, Hồ Chí Minh"
"Bán nhà Hồ Văn Chương, 10m ra ô tô, nội thất xịn, nhà đẹp ở luôn đón đầu tương lai 7m ra mặt phố",12 tỷ,40 m²,300 tr/m²,3 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
"BÁN NHÀ NGỌC LÂM, PHÂN LÔ VỈA HÈ, NGÕ THÔNG, Ô TÔ TRÁNH, 2 THOÁNG VĨNH VIỄN,55M2, 14 TỶ",14 tỷ,55 m²,"254,54 tr/m²",,,"Long Biên, Hà Nội"
"BÁN NHÀ HỒ VĂN CHƯƠNG TÔN ĐỨC THẮNG FULL NỘI THẤT XỊN, 10M RA Ô TÔ TRÁNH, Ở NGAY XEM CHỐT LUÔN!","11,99 tỷ",42 m²,"285,48 tr/m²",3 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
"Bán nhà phố Đàm Quang Trung-Long Biên, DT:37m2, MT:4,7m, xây 6 tầng, thang máy nhập khẩu, full NT","9,3 tỷ",37 m²,"251,35 tr/m²",3 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
"Siêu hiếm - Trung Kính - nhà dân xây mới - 5 tầng - diện tích 31m2 - mặt tiền 4,2m","8,6 tỷ",31 m²,"277,42 tr/m²",3 Phòng ngủ,4 WC,"Cầu Giấy, Hà Nội"
"Bán gấp nhà lầu đẹp, 90m2 (5x18) sổ hồng thổ cư. Giá 2 tỷ 950 đặt cọc trong tuần. Mua bán chính chủ","2,95 tỷ",90 m²,"32,78 tr/m²",3 Phòng ngủ,2 WC,"Biên Hòa, Đồng Nai"
"Chính chủ hạ giá bán gấp khách sạn 72/6 Dương Đức Hiền, 8.20 x 16m, 3 lầu, giá 15,5 tỷ TL","15,5 tỷ","131,2 m²","118,14 tr/m²",13 Phòng ngủ,15 WC,"Tân Phú, Hồ Chí Minh"
"Ngang 6m chia làm 2 căn, sát MT Trần Xuân Soạn, doanh thu 20tr/tháng","5,9 tỷ",56 m²,"105,36 tr/m²",6 Phòng ngủ,6 WC,"Quận 7, Hồ Chí Minh"
"Bán nhà riêng 3,65 tỷ, 24m2 tại Nguyễn Duy Cung, p 12, Gò Vấp, HCM giá tốt","3,65 tỷ",24 m²,"152,08 tr/m²",2 Phòng ngủ,2 WC,"Gò Vấp, Hồ Chí Minh"
"Chính chủ bán nhà đường Nguyễn Hoàng, Hải Châu, DT 50m2 x 3 tầng giá chỉ hơn 3 tỷ đầy đủ tiện ích","3,54 tỷ",50 m²,"70,8 tr/m²",,,"Hải Châu, Đà Nẵng"
"Bán nhà Đê Tô Hoàng 25m2 3 tầng thoáng sáng đẹp ở ngay chỉ 4,3 tỷ","4,3 tỷ",25 m²,172 tr/m²,,,"Hai Bà Trưng, Hà Nội"
"Chính chủ bán nhà khu phân lô đường Trung Kính, DT 60m2 x MT 4m, vị trí đẹp, đường rộng oto vào nhà","19,3 tỷ",60 m²,"321,67 tr/m²",,,"Cầu Giấy, Hà Nội"
"Nhà HXH 7 chỗ Trường Chinh - Nguyễn Sỹ Sách, TB - 3 tầng mới đẹp - 51.1m2 ngang ~4m, chỉ 6.179 tỷ","6,18 tỷ","51,1 m²","120,92 tr/m²",,,"Tân Bình, Hồ Chí Minh"
"Bán căn góc 3 mặt tiền Đường Ngô Tất Tố, ~62m2, 4 tầng, 11CHDV, 1MB, thu nhập 70tr/tháng. Giá 17 tỷ",17 tỷ,"61,4 m²","276,87 tr/m²",11 Phòng ngủ,12 WC,"Bình Thạnh, Hồ Chí Minh"
"Q.10 LÊ HỒNG PHONG, HXH 6M, NGAY VÒNG XOAY LÝ THÁI TỔ CHỈ NHỈNH 8 TỶ, 50M2, NGANG 4M","8,5 tỷ",50 m²,170 tr/m²,5 Phòng ngủ,5 WC,"Quận 10, Hồ Chí Minh"
"Kẹt tiền bán gấp nhà Gò Vấp, hẻm 2 ô tô tránh nhau","6,9 tỷ",80 m²,"86,25 tr/m²",3 Phòng ngủ,2 WC,"Gò Vấp, Hồ Chí Minh"
"Chính chủ cần bán nhà đất mặt tiền hẻm Hàng Tre Phường Long Thạnh Mỹ, Tp. Thủ Đức","15,6 tỷ","301,3 m²","51,78 tr/m²",4 Phòng ngủ,2 WC,"Thủ Đức, Hồ Chí Minh"
Bán nhà riêng chính chủ tại ngõ 553 Giải Phóng,"8,6 tỷ","47,6 m²","180,67 tr/m²",5 Phòng ngủ,4 WC,"Hoàng Mai, Hà Nội"
BÁN NHANH NHÀ 2 TẦNG 3 MẶT TIỀN ĐƯỜNG TRƯƠNG ĐỊNH - NGANG 8m5 - 3 THOÁNG - 120m2 - NHỈNH 9 TỶ,"9,8 tỷ",120 m²,"81,67 tr/m²",4 Phòng ngủ,4 WC,"Sơn Trà, Đà Nẵng"
"Chính chủ bán gấp nhà HXH Bạch Đằng, P.2,Q.Tân Bình,47,6m2, Giá 3,8 Tỷ đang cho thuê 22 triệu/tháng","3,8 tỷ","47,6 m²","79,83 tr/m²",3 Phòng ngủ,4 WC,"Tân Bình, Hồ Chí Minh"
Chính chủ bán nhà 5 tầng mặt Hồ Tai Trâu 71m2 4 phòng ngủ hướng Nam giá 25.9 tỷ,"25,9 tỷ",71 m²,"364,79 tr/m²",4 Phòng ngủ,6 WC,"Long Biên, Hà Nội"
CHÍNH CHỦ CÓ NHÀ CẦN BÁN NGAY TẠI LA KHÊ - HÀ ĐÔNG - 0982 128 ***,"8,2 tỷ",34 m²,"241,18 tr/m²",4 Phòng ngủ,,"Hà Đông, Hà Nội"
"Cuối năm chính chủ cần bán gấp nhà đẹp, full giá 3,8 tỷ (TL)hẻm ô tô đường Võ Văn Tần - P5 - Quận 3","3,8 tỷ","53,76 m²","70,68 tr/m²",4 Phòng ngủ,3 WC,"Quận 3, Hồ Chí Minh"
"Anh Dương bán nhà Quan Nhân , Thanh Xuân-ngõ thông kinh doanh-ôtô tránh-view hồ-gần gửi xe ôtô","12,2 tỷ",50 m²,244 tr/m²,,,"Thanh Xuân, Hà Nội"
"Bán nhà Nguyễn Văn Thương (D1), P25, Bình Thạnh. Ngang 3,9m x dài 15m vuông vức, GPXD 5 tầng, 8,7tỷ","8,7 tỷ","49,1 m²","177,19 tr/m²",1 Phòng ngủ,1 WC,"Bình Thạnh, Hồ Chí Minh"
Bán nhà Nguyễn Trãi - Thanh Xuân 98m2 6T thang máy 2 thoáng garra ô tô kinh doanh chỉ ~ 370tr/m2,"36,5 tỷ",98 m²,"372,45 tr/m²",,,"Thanh Xuân, Hà Nội"
BÁN NHÀ PHỐ TAM KHƯƠNG LÔ GÓC 7 TẦNG THÁNG MÁY 102m2 - MT 6M - Ô TÔ KINH DOANH NHÀ MỚI 31.5 TỶ,"31,5 tỷ",102 m²,"308,82 tr/m²",,,"Đống Đa, Hà Nội"
"Tòa CHDV Trần Cung, ngõ rộng 3m, xây mới, 68m2*6T, 13PKK, full NT, PCCC, dòng tiền 70 triệu/ th","13,5 tỷ",68 m²,"198,53 tr/m²",13 Phòng ngủ,13 WC,"Bắc Từ Liêm, Hà Nội"
"Bán nhà phố Minh Khai, ngõ ô tô vào nhà nhỉnh 12 tỷ","12,95 tỷ",63 m²,"205,56 tr/m²",3 Phòng ngủ,,"Hai Bà Trưng, Hà Nội"
Chính chủ bán nhà 4 tầng Hóc Môn đường ô tô sẵn nội thất có thể ở ngay giá tốt cho khách chốt nhanh,8 tỷ,72 m²,"111,11 tr/m²",3 Phòng ngủ,4 WC,"Hóc Môn, Hồ Chí Minh"
Bán nhà Lãng Yên Đầm Trấu phân lô 69m2 nhỉnh 13 tỷ,"13,3 tỷ",69 m²,"192,75 tr/m²",4 Phòng ngủ,2 WC,"Hai Bà Trưng, Hà Nội"
ĐƯỜNG XE TẢI 6M - NGAY GÒ XOÀI - GIÁP TÂN PHÚ - 4*11M - SỔ ĐẸP HOÀN CÔNG ĐỦ - GIÁ CHỈ HƠN 4 TỶ,"4,65 tỷ",44 m²,"105,68 tr/m²",,,"Bình Tân, Hồ Chí Minh"
"Tòa CHDV Xuân Đỉnh, 40m ra ô tô, xây mới, 70m2*6T, PCCC đầy đủ, 15 PKK, dòng tiền 80 triệu/ th","14,5 tỷ",70 m²,"207,14 tr/m²",15 Phòng ngủ,15 WC,"Bắc Từ Liêm, Hà Nội"
Bán nhà 5 tầng có thang máy Yên Hòa Cầu Giấy phù hợp làm căn hộ mini cho thuê dòng tiền tốt,24 tỷ,"102,4 m²","234,38 tr/m²",,,"Cầu Giấy, Hà Nội"
CHÍNH CHỦ CẦN BÁN NHÀ ĐẸP NGÕ 102 TRƯỜNG CHINH ĐỐNG ĐA Ô TÔ VÀO NHÀ,"8,6 tỷ",26 m²,"330,77 tr/m²",5 Phòng ngủ,5 WC,"Đống Đa, Hà Nội"
Bán nhà Thanh Trì giá rẻ mặt tiền 5m hậu 8m có thể làm chung cư mini khai thác dòng tiền,11 tỷ,141 m²,"78,01 tr/m²",,,"Thanh Trì, Hà Nội"
"BÁN NHÀ NGÔ GIA TỰ, PHÂN LÔ VỈA HÈ, GARA, Ô TÔ TRÁNH, 45M2, 9 TỶ",9 tỷ,45 m²,200 tr/m²,,,"Long Biên, Hà Nội"
"Chính chủ bán nhà ngõ 62/8 Nguyễn Chí Thanh, Đống Đa, 80m2, 7 tầng, xây mới thang máy, 3 mặt thoáng","23,5 tỷ",80 m²,"293,75 tr/m²",5 Phòng ngủ,8 WC,"Đống Đa, Hà Nội"
"CHÍNH CHỦ - BÁN NHÀ - LÔ GÓC - P.TRUNG HÒA, Q. CẦU GIẤY","27,5 tỷ",93 m²,"295,7 tr/m²",,,"Cầu Giấy, Hà Nội"
"Bán nhà siêu hiếm view sông Landmark 81, 140m2,ngay GigaMall Phạm Văn Đồng, HXH, 7 tỷ",7 tỷ,155 m²,"45,16 tr/m²",,,"Thủ Đức, Hồ Chí Minh"
"Bán nhà riêng tại Mỗ Lao, 150tr/1m2 (86.7m2)(Chính chủ)",13 tỷ,"86,7 m²","149,94 tr/m²",,,"Hà Đông, Hà Nội"
"Bán nhà phân lô Quang Trung, Hà Đông, 54m2 x 5 tầng, thang máy, đường ô tô rộng, 2 thoáng, 13 tỷ",13 tỷ,54 m²,"240,74 tr/m²",5 Phòng ngủ,,"Hà Đông, Hà Nội"
DUPLEX GIA THỤY 82m2 18.5 TỶ 6 TẦNG THANG MÁY OTO TRÁNH FULL NỘI THẤT CAO CẤP MỘT CĂN DUY NHẤT!,"18,3 tỷ",82 m²,"223,17 tr/m²",4 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
BÁN NHÀ LÊ THANH NGHỊ 7.5 TỶ 35M 5 TẦNG LÔ GÓC THOÁNG SÁNG MỚI KÍNH KOONG,"7,5 tỷ",35 m²,"214,29 tr/m²",,,"Hai Bà Trưng, Hà Nội"
"Chính chủ cần bán CMNM, nhà mới, hiện đang kín phòng, 56.4m2 x 7 tầng gồm 17p khép kín","14,9 tỷ","56,4 m²","264,18 tr/m²",17 Phòng ngủ,17 WC,"Thanh Trì, Hà Nội"
Nhà sổ riêng nở hậu 41m2 căn cuối có sân nằm sát mặt tiền Huỳnh Tấn Phát 1 lầu giá tốt,4 tỷ,"41,8 m²","95,69 tr/m²",2 Phòng ngủ,2 WC,"Nhà Bè, Hồ Chí Minh"
"Nhà 2 tầng, HXH, oto, 10m ra mặt tiền Nguyễn Thái Sơn, 140m2, 11tỷ TL",11 tỷ,140 m²,"78,57 tr/m²",6 Phòng ngủ,6 WC,"Gò Vấp, Hồ Chí Minh"
Ngộp bán nhanh nhà C4 76m2 - lô góc 3 mặt tiền ngang hiếm 11m - hẻm xe hơi P. 25 - chỉ 105tr/m2,"7,99 tỷ",76 m²,"105,13 tr/m²",3 Phòng ngủ,2 WC,"Bình Thạnh, Hồ Chí Minh"
Bán nhà riêng 41 sổ hồng nội thất tiện nghi đầy đủ,"3,3 tỷ",41 m²,"80,49 tr/m²",4 Phòng ngủ,3 WC,"Thanh Oai, Hà Nội"
"CCMN - 145m 7 tầng 1 hầm Cầu Giấy - Lô góc 3 thoáng - Dòng tiền 2,5 tỷ/ năm - Đầy đủ GP PCCC - GPXD","44,5 tỷ",145 m²,"306,9 tr/m²",23 Phòng ngủ,24 WC,"Cầu Giấy, Hà Nội"
"Hiếm, chính chủ bán nhà 52m2 dân xây, gara ô tô, ngõ 11 Việt Hưng, hàng xóm Vinhome Riverside","10,9 tỷ",52 m²,"209,62 tr/m²",4 Phòng ngủ,4 WC,"Long Biên, Hà Nội"
BÁN NHÀ PHỐ PHƯƠNG MAI - 7 TẦNG THANG MÁY - TRƯỚC NHÀ OTO TRÁNH - KINH DOANH / CHO THUÊ ĐỈNH.,"22,5 tỷ",50 m²,450 tr/m²,4 Phòng ngủ,6 WC,"Đống Đa, Hà Nội"
Hàng hiếm. Nhà 1 trệt 1 lầu đúc đường 35 Hiệp Bình Chánh Thủ Đức. Giá chỉ 3.2 tỷ,"3,2 tỷ",32 m²,100 tr/m²,2 Phòng ngủ,1 WC,"Thủ Đức, Hồ Chí Minh"
